scrutin_ref,senateur_ref,position
senat-2020-1,20064C,pour
senat-2020-1,11041F,pour
senat-2020-1,19527W,pour
senat-2020-1,01034P,pour
senat-2020-1,11066Q,pour
senat-2020-1,20026V,pour
senat-2020-1,19749K,pour
senat-2020-1,19479G,pour
senat-2020-1,20122U,pour
senat-2020-1,20058E,pour
senat-2020-1,14173T,pour
senat-2020-1,19585H,pour
senat-2020-1,19669L,contre
senat-2020-1,19760E,abstention
senat-2020-1,04085P,abstention
senat-2020-1,20112S,abstention
senat-2020-1,19651A,abstention
senat-2020-1,20110Q,abstention
senat-2020-1,11033F,abstention
senat-2020-1,11040E,abstention
senat-2020-1,19758L,abstention
senat-2020-1,19782L,abstention
senat-2020-1,11031D,abstention
senat-2020-1,11056N,abstention
senat-2020-1,11065P,abstention
senat-2020-1,19659J,abstention
senat-2020-1,20134Y,abstention
senat-2020-1,20100N,abstention
senat-2020-1,11083R,abstention
senat-2020-1,19695N,abstention
senat-2020-1,19347U,abstention
senat-2020-1,19565D,abstention
senat-2020-1,19329S,abstention
senat-2020-1,20106U,abstention
senat-2020-1,20128B,abstention
senat-2020-1,19591F,abstention
senat-2020-1,20016T,abstention
senat-2020-1,11099A,abstention
senat-2020-1,20102Q,abstention
senat-2020-1,12041X,abstention
senat-2020-1,19697Q,abstention
senat-2020-1,11077T,abstention
senat-2020-1,19637C,abstention
senat-2020-1,20142Y,abstention
senat-2020-1,11072N,abstention
senat-2020-1,19593H,abstention
senat-2020-1,20036X,abstention
senat-2020-1,08073C,abstention
senat-2020-1,08061X,abstention
senat-2020-1,20146D,abstention
senat-2020-1,20130U,abstention
senat-2020-1,19349W,abstention
senat-2020-1,95063L,abstention
senat-2020-1,20150Y,abstention
senat-2020-1,20092G,abstention
senat-2020-1,19687N,abstention
senat-2020-1,04045F,abstention
senat-2020-1,19689Q,abstention
senat-2020-1,19301E,abstention
senat-2020-1,20046A,abstention
senat-2020-1,04034C,abstention
senat-2020-1,86034E,nonVotant
senat-2020-1,01043Q,nonVotant
senat-2020-1,19685L,nonVotant
senat-2020-1,01060R,nonVotant
senat-2020-1,14055N,nonVotant
senat-2020-1,19265T,nonVotant
senat-2020-1,14037X,nonVotant
senat-2020-2,14133K,pour
senat-2020-2,20032T,pour
senat-2020-2,14189C,pour
senat-2020-2,19717B,pour
senat-2020-2,19515S,pour
senat-2020-2,20076G,pour
senat-2020-2,05008E,pour
senat-2020-2,19741B,pour
senat-2020-2,19667J,pour
